DATE,CAUDAL,PP,T,PET
1999-05-20,27010,18.66303102,25.31641388,3.975376844
1999-05-21,26960,18.66303102,24.64861679,3.884296894
1999-05-22,26910,18.66303102,25.29128647,3.628923893
1999-05-23,26880,18.66303102,26.16913986,3.79238081
1999-05-24,26860,18.66303102,25.25844193,3.767338991
1999-05-25,26810,18.66303102,25.45017242,5.041321754
1999-05-26,26750,18.66303102,26.38278961,3.941868782
1999-05-27,26670,18.66303102,26.9732933,4.038268566
1999-05-28,26640,18.66303102,25.883955,4.101421833
1999-05-29,26600,18.66303102,26.51120758,4.10434866
1999-05-30,26500,18.66303102,26.24165344,4.096839905
1999-05-31,26410,18.66303102,25.12591362,4.105824471
1999-06-01,26310,13.08703832,24.36399078,3.86930871
1999-06-02,26200,13.08703832,25.32312393,4.019872189
1999-06-03,26090,13.08703832,25.70301056,3.844841719
1999-06-04,26090,13.08703832,25.55287933,3.707826138
1999-06-05,25820,13.08703832,25.84992981,5.084754467
1999-06-06,25650,13.08703832,25.15328789,3.835357666
1999-06-07,25520,13.08703832,25.74106598,3.948843479
1999-06-08,25380,13.08703832,25.98484421,3.988758802
1999-06-09,25280,13.08703832,26.09061813,3.85387969
1999-06-10,25040,13.08703832,26.7105217,3.819024563
1999-06-11,24760,13.08703832,25.67770195,3.936100245
1999-06-12,24540,13.08703832,26.31081772,4.020887375
1999-06-13,24300,13.08703832,25.83153915,4.190496445
1999-06-14,24080,13.08703832,26.72286224,4.044942856
1999-06-15,23840,13.08703832,26.72122955,4.313176632
1999-06-16,23610,13.08703832,26.95409393,5.091862202
1999-06-17,23400,13.08703832,26.88015747,4.324706078
1999-06-18,23220,13.08703832,26.80877304,4.327615738
1999-06-19,23030,13.08703832,26.87124252,4.097275257
1999-06-20,22870,13.08703832,26.25380325,4.108436108
1999-06-21,22710,13.08703832,25.23813248,3.929596901
1999-06-22,22540,13.08703832,25.26682281,4.086744785
1999-06-23,22380,13.08703832,26.12403488,4.167797089
1999-06-24,22240,13.08703832,26.55186272,4.217619419
1999-06-25,22130,13.08703832,26.15178108,4.140103817
1999-06-26,22050,13.08703832,26.36120224,4.139181614
1999-06-27,21960,13.08703832,25.68151665,4.70583725
1999-06-28,21860,13.08703832,25.91520119,4.364534855
1999-06-29,21750,13.08703832,26.51787567,4.326974392
1999-06-30,21600,13.08703832,26.26104355,4.175991535
1999-07-01,21420,17.21578854,25.85546875,4.278762341
1999-07-02,21240,17.21578854,26.29235458,4.268998146
1999-07-03,21060,17.21578854,26.28045273,4.426687717
1999-07-04,20870,17.21578854,26.43899536,4.426764965
1999-07-05,20690,17.21578854,25.86333466,4.426683426
1999-07-06,20570,17.21578854,21.8486824,4.382255077
1999-07-07,20420,17.21578854,22.50536156,4.483299732
