DATE,CAUDAL,PP,T,PET
03-06-99,26090,0.0,25.70301056,3.844841719
04-06-99,26090,0.0,25.55287933,3.707826138
05-06-99,25820,0.3,25.84992981,5.084754467
06-06-99,25650,0.0,25.15328789,3.835357666
07-06-99,25520,0.0,25.74106598,3.948843479
08-06-99,25380,0.0,25.98484421,3.988758802
09-06-99,25280,0.0,26.09061813,3.85387969
10-06-99,25040,20.7,26.7105217,3.819024563
11-06-99,24760,6.8,25.67770195,3.936100245
12-06-99,24540,0.1,26.31081772,4.020887375
13-06-99,24300,0.8,25.83153915,4.190496445
14-06-99,24080,6.1,26.72286224,4.044942856
15-06-99,23840,0.0,26.72122955,4.313176632
16-06-99,23610,11.6,26.95409393,5.091862202
17-06-99,23400,11.4,26.88015747,4.324706078
18-06-99,23220,5.3,26.80877304,4.327615738
19-06-99,23030,0.6,26.87124252,4.097275257
20-06-99,22870,0.2,26.25380325,4.108436108
21-06-99,22710,6.1,25.23813248,3.929596901
22-06-99,22540,0.0,25.26682281,4.086744785
23-06-99,22380,0.0,26.12403488,4.167797089
24-06-99,22240,0.0,26.55186272,4.217619419
25-06-99,22130,13.1,26.15178108,4.140103817
26-06-99,22050,16.4,26.36120224,4.139181614
27-06-99,21960,0.1,25.68151665,4.70583725
28-06-99,21860,4.6,25.91520119,4.364534855
29-06-99,21750,0.0,26.51787567,4.326974392
30-06-99,21600,1.6,26.26104355,4.175991535
01-07-99,21420,18.0,25.85546875,4.278762341
02-07-99,21240,8.5,26.29235458,4.268998146
03-07-99,21060,0.0,26.28045273,4.426687717
04-07-99,20870,12.0,26.43899536,4.426764965
05-07-99,20690,0.5,25.86333466,4.426683426
06-07-99,20570,0.0,21.8486824,4.382255077
07-07-99,20420,0.0,22.50536156,4.483299732
08-07-99,20200,0.0,23.40992737,5.022882462
09-07-99,19950,0.0,24.22171021,4.474680901
10-07-99,19790,0.0,24.77618408,4.432940006
11-07-99,19690,0.0,24.96278,4.270768166
12-07-99,19620,0.1,25.96860886,4.512227058
13-07-99,19440,1.0,25.86618423,4.553334236
14-07-99,19130,0.0,24.79940033,4.460314751
15-07-99,18680,0.0,25.85123062,4.538931847
16-07-99,18010,0.0,25.6369133,4.671336651
17-07-99,17370,0.0,25.82331085,4.695749283
18-07-99,16890,1.2,26.20437622,4.737896442
19-07-99,16420,0.0,25.64375114,5.218477726
20-07-99,15950,0.0,25.61508179,4.772300243
21-07-99,15440,35.7,26.3113327,4.795275688
22-07-99,15040,0.0,24.89057732,4.546090603
23-07-99,14880,5.7,25.45095444,4.644869804
24-07-99,14880,0.0,24.43018532,4.422966957
25-07-99,15040,0.0,25.85382462,4.524851322
26-07-99,15100,47.1,25.46538734,4.682307243
27-07-99,15000,0.0,26.3939476,4.749083519
28-07-99,14970,0.0,25.42528534,4.721333504
29-07-99,15060,0.0,24.64703751,4.45078373
30-07-99,15220,0.0,26.00001717,5.185826302
31-07-99,15240,0.0,26.60609055,4.647144318
01-08-99,15230,0.0,26.01412392,4.749179363
02-08-99,15210,0.0,25.58108711,4.916489124
03-08-99,15080,0.0,26.1480217,4.876496792
04-08-99,14830,0.0,26.37773132,4.909182549
05-08-99,14310,0.0,26.12712097,4.817208767
06-08-99,13840,0.0,27.08790588,4.62336874
07-08-99,13340,13.0,27.36973572,4.55978632
08-08-99,12750,0.0,24.24874878,4.825286388
09-08-99,12120,0.0,24.49795914,4.870615482
10-08-99,11550,0.1,25.31180191,4.919679642
11-08-99,11230,0.0,25.98015213,4.835512161
12-08-99,11360,0.0,25.61275864,4.826237202
13-08-99,11700,0.1,26.63522339,4.889046669
14-08-99,11870,3.2,25.5353241,4.936739445
15-08-99,11820,0.0,23.25574303,4.962267399
16-08-99,11590,0.0,20.93949509,4.902145863
17-08-99,11480,0.0,22.2162075,4.980084419
18-08-99,11770,0.0,23.35457993,4.812766075
19-08-99,12500,0.0,24.74920845,4.738380909
20-08-99,13200,0.0,25.67674637,4.70605278
21-08-99,13440,0.0,26.40589905,4.999475479
22-08-99,13070,7.1,26.50047493,4.773530006
23-08-99,12400,1.4,26.02171326,4.916018486
24-08-99,11770,0.3,26.58527756,4.987922668
25-08-99,10960,0.0,26.76857758,5.059144974
26-08-99,10530,15.3,26.5544014,4.87939167
27-08-99,9712,0.0,27.00382614,4.982729435
28-08-99,9129,8.0,27.21242714,5.100683689
29-08-99,8681,9.3,27.15209961,5.180940628
30-08-99,8294,0.0,27.40902328,5.039579868
31-08-99,8045,0.0,27.25790787,4.823974609
01-09-99,7941,0.0,27.51192474,5.028283596
02-09-99,7880,1.2,27.21647644,4.997999668
03-09-99,7792,1.0,27.14589691,4.920456886
04-09-99,7670,0.2,27.038517,4.832993031
05-09-99,7514,0.0,28.03197861,4.780824184
06-09-99,7343,0.0,28.67614174,4.904505253
07-09-99,7193,0.6,28.85519218,4.839035511
08-09-99,7115,2.7,28.84449577,4.955626965
09-09-99,7126,2.7,28.69987106,4.952469826
10-09-99,7083,13.7,27.7826519,5.091124058
11-09-99,6918,0.0,26.07071304,5.119776726
12-09-99,6674,0.0,27.14281082,4.944429398
13-09-99,6503,0.0,27.93600464,5.040893078
14-09-99,6433,3.3,28.30207825,5.009995937
15-09-99,6543,12.8,27.11142159,4.90559721
16-09-99,6762,0.0,25.84565353,5.016719341
17-09-99,6877,0.0,25.76792908,4.981287479
18-09-99,6864,4.7,26.43189621,4.967617989
19-09-99,6967,0.8,26.94018555,5.017213821
20-09-99,7396,17.6,26.92460632,4.966003895
21-09-99,8429,8.7,25.74750137,4.932785988
22-09-99,9596,4.3,27.34952927,5.182380199
23-09-99,10110,3.2,27.60043716,5.182460308
24-09-99,10250,3.2,27.25259781,5.088420868
25-09-99,10410,1.8,27.17285156,5.245243549
26-09-99,10550,3.7,26.73904037,5.103992462
27-09-99,10450,0.6,24.86642075,4.982366562
28-09-99,10190,1.3,25.38674927,5.129288673
29-09-99,10020,0.0,26.67880249,5.188158989
30-09-99,9976,0.0,27.01747894,5.145019531
01-10-99,10060,13.7,27.76432419,5.188792706
02-10-99,10380,22.3,27.10676575,4.909655094
03-10-99,10800,0.8,26.00798416,4.469532013
04-10-99,10990,0.0,24.20376205,4.721449375
05-10-99,10960,0.0,24.97591591,4.996081352
06-10-99,10920,0.0,25.67643738,4.960640907
07-10-99,11350,0.1,27.03432655,4.999268532
08-10-99,12230,11.7,26.57979584,4.920249462
09-10-99,12910,1.9,26.51942825,5.037764549
10-10-99,13080,0.0,26.57278824,5.073929787
11-10-99,12830,8.8,27.75470352,4.997409821
12-10-99,12260,16.3,26.9185791,5.026519299
13-10-99,11740,0.1,25.295578,5.052262783
14-10-99,11200,0.0,25.76250839,4.920585155
15-10-99,10710,0.0,27.16474533,4.756911755
16-10-99,10300,0.1,27.8996315,5.047636509
17-10-99,10110,0.0,28.10418892,4.751087666
18-10-99,9987,13.9,28.05680847,4.954758167
19-10-99,9780,0.0,25.6901741,5.075317383
20-10-99,9458,2.3,26.84809113,5.021935463
21-10-99,9033,8.2,27.70703125,5.013833046
22-10-99,8683,3.1,27.41114616,4.973180771
23-10-99,8521,1.4,26.97479248,4.932629585
24-10-99,8551,0.1,27.98116684,4.816992283
25-10-99,8626,0.0,28.24347305,4.96127224
26-10-99,8733,0.0,27.89614868,4.854126453
27-10-99,8856,0.0,28.36364746,4.87668705
28-10-99,8974,0.0,27.55592155,4.949289799
29-10-99,9130,60.7,26.98999023,4.90655899
30-10-99,9274,0.0,24.80249405,4.990635395
31-10-99,9427,0.0,26.35699654,4.936388969
01-11-99,9444,0.0,27.70484734,4.919814587
02-11-99,9650,0.0,28.81441116,4.731945038
03-11-99,10260,0.1,29.00816345,4.832977772
04-11-99,10890,30.1,28.10954094,4.85054493
05-11-99,11080,3.0,25.73829651,4.936623096
06-11-99,10910,0.0,27.32004929,4.885721207
07-11-99,10710,6.7,27.579422,4.895038128
08-11-99,10970,35.3,28.36512756,4.884632587
09-11-99,11940,19.5,26.89468575,4.976528645
10-11-99,12960,9.5,23.62052917,5.023213863
11-11-99,13790,0.0,23.65683174,4.89722538
12-11-99,14280,0.0,24.30670547,4.834316254
13-11-99,14570,0.0,26.63154221,4.668366909
14-11-99,14910,0.0,27.57704163,4.976611137
15-11-99,15400,6.6,28.48159027,5.034054756
16-11-99,15760,3.1,28.71399689,4.985409737
17-11-99,15610,12.5,28.18602753,5.018918991
18-11-99,15220,0.0,26.69427872,4.951940536
19-11-99,14580,0.1,28.1076889,5.060517788
20-11-99,13900,34.6,28.7932663,4.91263485
21-11-99,13470,9.7,24.99972916,4.958242416
22-11-99,13020,7.3,25.79977036,4.871671677
23-11-99,12610,9.5,26.87796783,4.959700584
24-11-99,12340,4.5,26.30598259,4.886913776
25-11-99,12360,13.9,25.91358566,4.623841286
26-11-99,12430,5.4,26.39855194,4.661547661
27-11-99,12480,0.8,25.93956184,4.572081566
28-11-99,12710,1.1,27.32749939,4.930101871
29-11-99,13180,1.7,27.07557297,5.026714802
30-11-99,13620,0.0,27.17522049,4.996892929
01-12-99,13860,7.5,28.10404587,5.002806664
02-12-99,13810,0.0,27.55036163,4.998128891
03-12-99,13820,7.8,27.21989059,4.991137028
04-12-99,13990,0.0,27.45465088,4.730289936
05-12-99,14220,13.0,27.87772751,4.582939625
06-12-99,14490,0.0,27.99853897,4.932071686
07-12-99,14530,4.1,26.65716934,4.882309437
08-12-99,14330,1.5,26.72023392,5.005091667
09-12-99,14040,1.0,25.83205605,4.990965843
10-12-99,14000,14.5,27.10272217,5.03724575
11-12-99,14460,5.6,27.65347672,4.970492363
12-12-99,14610,16.2,27.51097107,4.920722485
13-12-99,15040,11.3,27.01996422,4.964132786
14-12-99,15190,7.6,27.09879303,4.992375851
15-12-99,15160,4.1,27.3478775,4.930553436
16-12-99,15290,1.7,27.50055313,4.902418137
17-12-99,15830,2.4,27.60132217,4.850802422
18-12-99,16550,9.1,27.84440994,4.73442173
19-12-99,17280,26.2,27.61127472,4.781442642
20-12-99,17960,21.5,26.12277985,4.785343647
21-12-99,18540,46.8,26.76189041,5.079857826
22-12-99,19030,5.4,26.24438858,4.932236671
23-12-99,19390,0.0,26.88248825,4.832273006
24-12-99,19620,0.2,27.58615875,4.721012592
25-12-99,19780,23.1,27.32420731,4.695329666
26-12-99,20010,0.3,25.66857719,4.704337597
27-12-99,20160,1.4,26.75863647,4.841593266
28-12-99,20130,0.7,27.52052879,4.944757938
29-12-99,20000,0.0,27.69709396,4.96703577
30-12-99,19830,0.1,27.42539978,4.783754826
31-12-99,19630,0.0,28.00973892,4.740168095
01-01-00,19380,0.0,27.82325554,4.821412086
02-01-00,19030,11.2,27.46727371,4.843363762
03-01-00,18660,0.0,27.35447311,4.768243313
04-01-00,18240,0.0,28.12238312,5.060767651
05-01-00,17670,3.4,28.29117966,5.127055168
06-01-00,17060,1.7,26.47737312,5.054282665
07-01-00,16530,6.9,27.08943558,5.086221695
08-01-00,16000,0.0,27.40327454,5.046724319
09-01-00,15370,5.1,27.24811554,4.949221134
10-01-00,14760,25.4,25.48800278,4.780124664
11-01-00,14070,5.6,26.30260468,4.943065166
12-01-00,13610,0.0,26.06449509,4.987803459
13-01-00,13450,4.2,27.54927826,4.855865955
14-01-00,13680,0.0,27.68299103,4.953439236
15-01-00,13850,0.0,27.81561661,5.129899979
16-01-00,13480,0.0,27.18999672,5.168636322
17-01-00,12920,7.0,27.0130024,5.012349606
18-01-00,12470,5.6,26.59308243,4.680822372
19-01-00,12120,21.5,25.86734009,4.920565605
20-01-00,11890,0.1,25.24534035,5.086299896
21-01-00,11910,0.0,26.91587257,5.064892292
22-01-00,12110,44.5,27.4263382,5.135159492
23-01-00,12310,0.4,26.74408722,4.979989529
24-01-00,12460,5.0,26.65307045,4.833894253
