date,q,pp,t,pet
1999-09-22,5158,5.718,22.5647,4.28324876
1999-09-23,5821,8.7478,23.2888,4.400745831
1999-09-24,6136,21.7327,22.9819,4.357722102
1999-09-25,5846,3.2391,23.3614,4.421394946
1999-09-26,4904,33.9972,22.5029,4.291786654
1999-09-27,4200,30.9247,21.0739,4.072604625
1999-09-28,3789,32.8397,20.8738,4.044936403
1999-09-29,4239,0.4627,22.7721,4.345342722
1999-09-30,4552,0.6504,23.4518,4.455203311
1999-10-01,4717,1.0503,23.4512,4.458404949
1999-10-02,4670,21.1636,23.0583,4.399873272
1999-10-03,4389,28.7598,23.0508,4.401521156
1999-10-04,3895,26.9369,20.8933,4.065393853
1999-10-05,3248,0,20.8652,4.063196575
1999-10-06,2960,0,21.6935,4.195401517
1999-10-07,2620,0,22.585,4.337469571
1999-10-08,2096,0,22.358,4.303510519
1999-10-09,1724,12.6427,21.775,4.213305246
1999-10-10,1650,0,22.9382,4.397712971
1999-10-11,1406,1.4652,23.5482,4.494926139
1999-10-12,1671,15.3506,22.2582,4.292764007
1999-10-13,2059,0,22.3088,4.301494897
1999-10-14,2532,0,22.9481,4.40278325
1999-10-15,2866,3.5814,23.2179,4.445693707
1999-10-16,3225,0.2905,24.0869,4.582833576
1999-10-17,3171,0.0553,24.3519,4.624630261
1999-10-18,2988,24.5509,22.8963,4.395156022
1999-10-19,2812,6.2062,22.4518,4.32482532
1999-10-20,2671,1.1945,23.1941,4.441295026
1999-10-21,2464,0,23.9691,4.562722645
1999-10-22,2078,9.9812,23.5927,4.502631586
1999-10-23,1822,14.0968,23.6141,4.505038356
1999-10-24,1611,12.6913,23.3805,4.467155508
1999-10-25,1377,0.8237,23.7916,4.530596987
1999-10-26,993.4,3.4498,23.874,4.542152213
1999-10-27,701.1,0,23.8776,4.541172071
1999-10-28,408.3,0.8909,24.0058,4.559649032
1999-10-29,288.3,22.5965,23.1164,4.418085516
1999-10-30,335.6,22.797,21.7834,4.206846344
1999-10-31,687.9,0,22.6695,4.344082548
1999-11-01,1051,0,24.1756,4.578384214
1999-11-02,1285,2.5186,24.5161,4.629536964
1999-11-03,1520,10.2783,24.1167,4.56454975
1999-11-04,1795,9.4053,24.1068,4.560570183
1999-11-05,2204,8.4828,23.0501,4.392586082
